Latitude,Longitude,LST
39.75,80.25,1.3504000902175903
39.75,80.75,2.1095998287200928
39.75,81.25,2.739400625228882
39.75,81.75,2.893599271774292
39.75,82.25,2.9500012397766113
39.75,82.75,2.6566007137298584
39.75,83.25,2.6872003078460693
39.75,83.75,2.1113998889923096
39.75,84.25,1.7439990043640137
39.75,84.75,1.8192017078399658
39.75,85.25,2.090000629425049
39.75,85.75,2.498400926589966
39.75,86.25,2.857600450515747
39.75,86.75,3.479600429534912
39.75,87.25,3.2749993801116943
39.75,87.75,2.7255983352661133
39.75,88.25,1.096400499343872
39.75,88.75,1.5961986780166626
39.75,89.25,0.9908029437065125
39.75,89.75,0.9510000348091125
39.75,90.25,1.484798550605774
39.75,90.75,2.8267996311187744
39.75,91.25,3.5364019870758057
39.75,91.75,3.8750009536743164
39.75,92.25,3.9031994342803955
39.75,92.75,3.21220064163208
39.75,93.25,3.1546010971069336
39.75,93.75,2.944200038909912
39.75,94.25,2.7564008235931396
39.75,94.75,0.3853991627693176
39.75,95.25,-3.374398708343506
39.75,95.75,-4.0435991287231445
39.75,96.25,-5.143600940704346
39.75,96.75,-2.3867990970611572
39.75,97.25,-4.181598663330078
39.75,97.75,-2.943798542022705
39.75,98.25,-1.1097979545593262
39.75,98.75,-0.4717983901500702
39.75,99.25,0.6138009428977966
39.75,99.75,1.5488003492355347
39.75,100.25,1.8402019739151
39.75,100.75,3.253002405166626
39.75,101.25,3.7815990447998047
39.75,101.75,4.1122002601623535
39.75,102.25,3.296199321746826
39.75,102.75,1.9481987953186035
39.75,103.25,1.0741989612579346
39.75,103.75,2.294999599456787
39.75,104.25,3.1042001247406006
39.75,104.75,2.4083986282348633
39.75,105.25,2.6381995677948
39.75,105.75,2.66379976272583
39.75,106.25,3.703997850418091
39.75,106.75,0.4044012427330017
39.75,107.25,1.3644003868103027
39.75,107.75,1.4776016473770142
39.75,108.25,1.2846004962921143
39.75,108.75,0.8017995953559875
39.75,109.25,0.7111993432044983
39.75,109.75,0.13739806413650513
39.75,110.25,-0.42079833149909973
39.75,110.75,-0.4895996153354645
39.75,111.25,-1.2318001985549927
39.75,111.75,-1.091001033782959
39.75,112.25,-1.0816009044647217
39.75,112.75,-0.8501995801925659
39.75,113.25,-0.6592016816139221
39.75,113.75,-2.770800828933716
39.75,114.25,-1.339200496673584
39.75,114.75,-2.7158010005950928
39.75,115.25,-1.495200753211975
39.75,115.75,0.4708007872104645
39.75,116.25,2.732198476791382
39.75,116.75,3.0156002044677734
39.75,117.25,3.4412009716033936
39.75,117.75,4.027801036834717
39.75,118.25,2.9073996543884277
39.75,118.75,2.7694003582000732
39.75,119.25,1.69821035861969
39.75,119.75,1.1015753746032715
39.25,80.25,2.156599998474121
39.25,80.75,1.6408016681671143
39.25,81.25,2.886599540710449
39.25,81.75,3.4648008346557617
39.25,82.25,4.139199733734131
39.25,82.75,3.462601661682129
39.25,83.25,3.2320022583007812
39.25,83.75,2.8244004249572754
39.25,84.25,2.4778003692626953
39.25,84.75,3.366799831390381
39.25,85.25,3.369600296020508
39.25,85.75,3.7193994522094727
39.25,86.25,3.2614002227783203
39.25,86.75,3.1356005668640137
39.25,87.25,2.7153992652893066
39.25,87.75,1.482000470161438
39.25,88.25,0.026198729872703552
39.25,88.75,1.5869989395141602
39.25,89.25,1.5057989358901978
39.25,89.75,0.28259947896003723
39.25,90.25,-1.2893993854522705
39.25,90.75,-1.004599928855896
39.25,91.25,0.3826000988483429
39.25,91.75,0.04739898815751076
39.25,92.25,0.005600280594080687
39.25,92.75,-1.631998896598816
39.25,93.25,-4.4442009925842285
39.25,93.75,-6.0540008544921875
39.25,94.25,-2.738800287246704
39.25,94.75,-4.11120080947876
39.25,95.25,-7.941401958465576
39.25,95.75,-4.86359977722168
39.25,96.25,-4.863999366760254
39.25,96.75,-7.117799758911133
39.25,97.25,-6.692200183868408
39.25,97.75,-6.648399353027344
39.25,98.25,-8.420198440551758
39.25,98.75,-5.577800273895264
39.25,99.25,-1.6830017566680908
39.25,99.75,-0.5912026762962341
39.25,100.25,0.8719986081123352
39.25,100.75,0.9274002313613892
39.25,101.25,2.67319917678833
39.25,101.75,3.022001266479492
39.25,102.25,2.890199899673462
39.25,102.75,3.256000280380249
39.25,103.25,3.457200288772583
39.25,103.75,3.2655985355377197
39.25,104.25,3.6749985218048096
39.25,104.75,3.743999719619751
39.25,105.25,3.048999071121216
39.25,105.75,3.6168007850646973
39.25,106.25,1.5128003358840942
39.25,106.75,0.8000015020370483
39.25,107.25,1.9686001539230347
39.25,107.75,2.415799856185913
39.25,108.25,1.5897997617721558
39.25,108.75,1.1824002265930176
39.25,109.25,0.8632006645202637
39.25,109.75,1.1900008916854858
39.25,110.25,0.2890002429485321
39.25,110.75,-0.30880096554756165
39.25,111.25,-1.396001935005188
39.25,111.75,-0.6826022267341614
39.25,112.25,-1.2399988174438477
39.25,112.75,-0.2833999693393707
39.25,113.25,-1.5673986673355103
39.25,113.75,-0.9506005644798279
39.25,114.25,-0.017399292439222336
39.25,114.75,0.8277999758720398
39.25,115.25,3.0939977169036865
39.25,115.75,4.833599090576172
39.25,116.25,4.538998126983643
39.25,116.75,4.474597930908203
39.25,117.25,3.058601140975952
39.25,117.75,2.878861904144287
39.25,118.25,2.343165159225464
39.25,118.75,3.2125015258789062
39.25,119.25,2.204860210418701
39.25,119.75,
38.75,80.25,2.077399253845215
38.75,80.75,2.0158016681671143
38.75,81.25,3.5166003704071045
38.75,81.75,3.598198890686035
38.75,82.25,4.0432000160217285
38.75,82.75,4.403400421142578
38.75,83.25,3.782999277114868
38.75,83.75,4.0709991455078125
38.75,84.25,3.7321999073028564
38.75,84.75,4.768799304962158
38.75,85.25,4.272601127624512
38.75,85.75,3.813598394393921
38.75,86.25,3.0981991291046143
38.75,86.75,2.797200918197632
38.75,87.25,2.427000045776367
38.75,87.75,1.4865978956222534
38.75,88.25,-0.994199812412262
38.75,88.75,-2.3041982650756836
38.75,89.25,-4.443199634552002
38.75,89.75,-3.5736000537872314
38.75,90.25,-2.9703989028930664
38.75,90.75,-2.637998580932617
38.75,91.25,-1.7298001050949097
38.75,91.75,-1.7797988653182983
38.75,92.25,-1.414799451828003
38.75,92.75,-2.8817996978759766
38.75,93.25,-1.4239983558654785
38.75,93.75,-2.4464006423950195
38.75,94.25,-1.6194006204605103
38.75,94.75,-1.3077987432479858
38.75,95.25,-4.0923991203308105
38.75,95.75,-9.274199485778809
38.75,96.25,-4.0363993644714355
38.75,96.75,-3.9810004234313965
38.75,97.25,-8.387399673461914
38.75,97.75,-8.892399787902832
38.75,98.25,-4.247999668121338
38.75,98.75,-4.003600597381592
38.75,99.25,-4.136600494384766
38.75,99.75,-2.417600631713867
38.75,100.25,-1.715998888015747
38.75,100.75,0.1301995813846588
38.75,101.25,0.9077996611595154
38.75,101.75,1.3643996715545654
38.75,102.25,2.1549999713897705
38.75,102.75,3.3331985473632812
38.75,103.25,2.6404008865356445
38.75,103.75,3.9035985469818115
38.75,104.25,4.499002456665039
38.75,104.75,5.412801265716553
38.75,105.25,4.528801918029785
38.75,105.75,1.3761990070343018
38.75,106.25,1.7294018268585205
38.75,106.75,2.5410006046295166
38.75,107.25,3.536200523376465
38.75,107.75,2.670999050140381
38.75,108.25,2.775998592376709
38.75,108.75,2.5011990070343018
38.75,109.25,2.271000385284424
38.75,109.75,2.2011983394622803
38.75,110.25,1.3177975416183472
38.75,110.75,-0.3164004385471344
38.75,111.25,-0.8888000249862671
38.75,111.75,-2.422200918197632
38.75,112.25,-1.4682003259658813
38.75,112.75,1.6383984088897705
