Latitude,Longitude,XCO2BiasCo,NDVI,EVI,LST
6.25,116.25,421.2899,0.7615283131599426,0.4640966653823852,25.31707572937012
7.75,99.25,420.61255,0.7664614915847778,0.5126428604125977,26.216875076293945
11.25,107.25,423.369495,0.7147539854049683,0.4255929887294769,27.296600341796875
12.25,99.75,421.88097,0.6822666525840759,0.4448282718658447,26.874000549316406
13.25,80.25,423.2439,0.4699583351612091,0.2520694434642792,28.834209442138672
13.25,101.75,423.37564,0.7114619612693787,0.4021809995174408,26.725400924682617
13.75,100.25,425.98212,0.4798639714717865,0.2635949850082397,29.22319793701172
13.75,100.75,419.5784,0.4713749885559082,0.2652879953384399,28.959197998046875
14.25,100.25,419.801374,0.5094519853591919,0.2765089869499206,26.413000106811523
14.75,100.25,420.026635,0.5660560131072998,0.335578978061676,26.894798278808597
15.25,100.25,419.7801,0.5427590012550354,0.311506986618042,27.859397888183597
15.75,100.25,420.701706667,0.550180971622467,0.3331509828567505,27.89659881591797
16.25,100.25,418.244282,0.537447988986969,0.3230839967727661,28.758197784423828
16.25,119.75,420.11584,0.6584365963935852,0.4067390263080597,28.778976440429688
16.75,100.25,418.89995,0.5310379862785339,0.3136099874973297,27.92879867553711
17.25,99.75,418.4914325,0.5318599939346313,0.3414590060710907,28.099998474121094
17.75,97.25,420.178315714,0.8145459890365601,0.5151199698448181,25.04080009460449
17.75,99.75,420.253205,0.7140439748764038,0.4585489928722381,25.171600341796875
17.75,105.25,419.943383333,0.7219739556312561,0.3666049838066101,20.37299919128418
18.25,99.75,419.8495375,0.633866012096405,0.3573600053787231,25.82439994812012
18.75,94.75,418.580437667,0.6878829598426819,0.4053059816360473,26.012998580932617
18.75,100.25,419.13487,0.6819379925727844,0.3814869821071625,23.690401077270508
18.75,100.75,419.4233125,0.6678999662399292,0.4079309999942779,24.255800247192383
18.75,103.25,425.370348889,0.7990769743919373,0.468449980020523,20.60260009765625
18.75,108.75,421.485266667,0.6645492911338806,0.4084943532943725,23.088024139404297
19.25,101.25,416.94803,0.7753009796142578,0.4532489776611328,20.64299774169922
19.25,101.75,421.445115,0.6871259808540344,0.4341949820518493,21.686399459838867
19.75,102.25,419.014685,0.6942619681358337,0.3921889960765838,20.74380111694336
19.75,102.75,418.919046667,0.7424519658088684,0.4303189814090729,19.267799377441406
19.75,103.25,418.405816667,0.7214249968528748,0.3804499804973602,18.925199508666992
20.25,97.75,421.181422778,0.6390039920806885,0.3470360040664673,23.66519927978516
20.25,103.75,420.589483333,0.7979849576950073,0.4092809855937958,17.928199768066406
20.25,104.25,419.02195,0.8136499524116516,0.423115998506546,18.523801803588867
