Latitude,Longitude,NDVI
39.75,80.25,0.04573899880051613
39.75,80.75,0.04279499873518944
39.75,81.25,0.03893299773335457
39.75,81.75,0.04579100012779236
39.75,82.25,0.050397999584674835
39.75,82.75,0.05541199818253517
39.75,83.25,0.05656599998474121
39.75,83.75,0.051409997045993805
39.75,84.25,0.051579996943473816
39.75,84.75,0.05552399903535843
39.75,85.25,0.056578997522592545
39.75,85.75,0.055851999670267105
39.75,86.25,0.04975299909710884
39.75,86.75,0.048559997230768204
39.75,87.25,0.05166899785399437
39.75,87.75,0.050565000623464584
39.75,88.25,0.04872100055217743
39.75,88.75,0.041871000081300735
39.75,89.25,0.04159199818968773
39.75,89.75,0.04325899854302406
39.75,90.25,0.049949999898672104
39.75,90.75,0.04874899983406067
39.75,91.25,0.056320998817682266
39.75,91.75,0.054298996925354004
39.75,92.25,0.05627399682998657
39.75,92.75,0.05434099957346916
39.75,93.25,0.050220999866724014
39.75,93.75,0.0481330007314682
39.75,94.25,0.05511799827218056
39.75,94.75,0.0629199966788292
39.75,95.25,0.05589499697089195
39.75,95.75,0.06918899714946747
39.75,96.25,0.06715599447488785
39.75,96.75,0.08251100033521652
39.75,97.25,0.07668299973011017
39.75,97.75,0.08121299743652344
39.75,98.25,0.08503499627113342
39.75,98.75,0.08878399431705475
39.75,99.25,0.06465800106525421
39.75,99.75,0.06312000006437302
39.75,100.25,0.06378600001335144
39.75,100.75,0.06854599714279175
39.75,101.25,0.07707099616527557
39.75,101.75,0.08762399852275848
39.75,102.25,0.0928729996085167
39.75,102.75,0.09531499445438385
39.75,103.25,0.08335499465465546
39.75,103.75,0.08716199547052383
39.75,104.25,0.08318199962377548
39.75,104.75,0.0988520011305809
39.75,105.25,0.08991199731826782
39.75,105.75,0.07799799740314484
39.75,106.25,0.0783189982175827
39.75,106.75,0.0966859981417656
39.75,107.25,0.11043599992990494
39.75,107.75,0.1189269945025444
39.75,108.25,0.12049299478530884
39.75,108.75,0.13395699858665466
39.75,109.25,0.1537259966135025
39.75,109.75,0.15873099863529205
39.75,110.25,0.1544409990310669
39.75,110.75,0.1609949916601181
39.75,111.25,0.16938500106334686
39.75,111.75,0.18201600015163422
39.75,112.25,0.19298599660396576
39.75,112.75,0.1921740025281906
39.75,113.25,0.15935400128364563
39.75,113.75,0.19913499057292938
39.75,114.25,0.19523699581623077
39.75,114.75,0.2281789928674698
39.75,115.25,0.2625640034675598
39.75,115.75,0.2642810046672821
39.75,116.25,0.20533598959445953
39.75,116.75,0.21642199158668518
39.75,117.25,0.2219640016555786
39.75,117.75,0.21736399829387665
39.75,118.25,0.20698699355125427
39.75,118.75,0.1842149943113327
39.75,119.25,0.1985144466161728
39.75,119.75,0.1560533344745636
39.25,80.25,0.052865996956825256
39.25,80.75,0.047433000057935715
39.25,81.25,0.042052000761032104
39.25,81.75,0.050474997609853745
39.25,82.25,0.052625998854637146
39.25,82.75,0.05439100041985512
39.25,83.25,0.056654997169971466
39.25,83.75,0.05451999977231026
39.25,84.25,0.0585779994726181
39.25,84.75,0.060339998453855515
39.25,85.25,0.05795300006866455
39.25,85.75,0.05328400060534477
39.25,86.25,0.04840399697422981
39.25,86.75,0.045478999614715576
39.25,87.25,0.04860299825668335
39.25,87.75,0.058145999908447266
39.25,88.25,0.06601899862289429
39.25,88.75,0.05547599866986275
39.25,89.25,0.04541599750518799
39.25,89.75,0.04100099951028824
39.25,90.25,0.05279199779033661
39.25,90.75,0.060766998678445816
39.25,91.25,0.06915099918842316
39.25,91.75,0.06474599987268448
39.25,92.25,0.05665299668908119
39.25,92.75,0.06188799813389778
39.25,93.25,0.06199000030755997
39.25,93.75,0.061861999332904816
39.25,94.25,0.06599199771881104
39.25,94.75,0.06890799850225449
39.25,95.25,0.04944499954581261
39.25,95.75,0.06591200083494186
39.25,96.25,0.06367000192403793
39.25,96.75,0.06519699841737747
39.25,97.25,0.08361199498176575
39.25,97.75,0.10712999850511551
39.25,98.25,0.11217999458312988
39.25,98.75,0.10780999809503555
39.25,99.25,0.09324000030755997
39.25,99.75,0.09648799896240234
39.25,100.25,0.10065699368715286
39.25,100.75,0.10007299482822418
39.25,101.25,0.07929299771785736
39.25,101.75,0.07464899867773056
39.25,102.25,0.0795149952173233
39.25,102.75,0.08146899938583374
39.25,103.25,0.0829169973731041
39.25,103.75,0.08539299666881561
39.25,104.25,0.083576999604702
39.25,104.75,0.09382699429988861
39.25,105.25,0.09254799783229828
39.25,105.75,0.10116899758577347
39.25,106.25,0.09931199997663498
39.25,106.75,0.10448800027370453
39.25,107.25,0.12114499509334564
39.25,107.75,0.12644699215888977
39.25,108.25,0.125575989484787
39.25,108.75,0.13081099092960358
39.25,109.25,0.15167099237442017
39.25,109.75,0.19585399329662323
39.25,110.25,0.17215099930763245
39.25,110.75,0.17396800220012665
39.25,111.25,0.16904400289058685
39.25,111.75,0.18177299201488495
39.25,112.25,0.1925559937953949
39.25,112.75,0.1818469911813736
39.25,113.25,0.19689099490642548
39.25,113.75,0.21041099727153778
39.25,114.25,0.22193099558353424
39.25,114.75,0.23349300026893616
